symbol,time_str,std,direction,score,entry,dmi_1h,dmi_4h,dmi_1d,sw_1h,sw_4h,sw_1d,srsi_1h,srsi_4h,srsi_1d,adx_1h,adx_4h,adx_1d,macd_1h,macd_4h,macd_1d,bbp_1h,bbp_4h,bbp_1d,cci_1h,cci_4h,cci_1d,ema_1h,ema_4h,ema_1d,boll_1h,boll_4h,boll_1d,cci_dir_1h,cci_dir_4h,cci_dir_1d,win_4H,pct_4H,win_12H,pct_12H,win_24H,pct_24H
APT-USDT,2026-04-04 20:00,摆动点,多,6,0.8477,空,空,空,多,多,多,80.2478,66.0085,0.0219,26.5025,41.5293,16.6684,-0.0013,-0.0162,-0.0348,0.7529,0.3535,0.1005,80.3609,-56.8350,-135.8131,空,空,空,空,N/A,多,多,空,多,0,-0.0944,0,-1.6987,0,-1.5218
APT-USDT,2026-04-04 21:00,摆动点,多,6,0.8479,空,空,空,多,多,多,81.7657,66.0085,0.0219,24.9598,41.5293,16.6684,-0.0011,-0.0162,-0.0348,0.7637,0.3535,0.1005,97.3015,-56.8350,-135.8131,空,空,空,空,N/A,多,多,空,多,1,0.0472,0,-1.4860,0,-1.7219
APT-USDT,2026-04-04 22:00,摆动点,多,6,0.8489,空,空,空,多,多,多,89.4726,66.0085,0.0219,23.3801,41.5293,16.6684,-0.0008,-0.0162,-0.0348,0.8365,0.3535,0.1005,104.8944,-56.8350,-135.8131,空,空,空,空,N/A,多,空,空,多,0,-0.1649,0,-1.8612,0,-0.7893
APT-USDT,2026-04-04 23:00,摆动点,多,6,0.8498,空,空,空,多,多,多,96.0763,66.0085,0.0219,22.1404,41.5293,16.6684,-0.0006,-0.0162,-0.0348,0.8780,0.3535,0.1005,92.6400,-56.8350,-135.8131,空,空,空,空,N/A,多,多,空,多,0,-0.5766,0,-1.8357,1,0.0588
APT-USDT,2026-04-05 00:00,摆动点,多,6,0.8469,空,空,空,多,多,多,62.1599,46.9935,0.0219,21.1901,41.4113,16.6684,-0.0006,-0.0156,-0.0348,0.5907,0.2665,0.1005,46.8668,-69.2538,-135.8131,空,空,空,N/A,多,多,多,空,多,0,-0.4959,0,-1.5350,1,0.1181
APT-USDT,2026-04-05 01:00,摆动点,多,6,0.8483,空,空,空,多,多,多,71.3336,46.9935,0.0219,20.3076,41.4113,16.6684,-0.0005,-0.0156,-0.0348,0.7026,0.2665,0.1005,42.9312,-69.2538,-135.8131,空,空,空,空,多,多,多,空,多,0,-1.2260,0,-1.4146,0,-0.3419
APT-USDT,2026-04-05 02:00,摆动点,多,6,0.8475,空,空,空,多,多,多,56.2582,46.9935,0.0219,19.5203,41.4113,16.6684,-0.0004,-0.0156,-0.0348,0.6087,0.2665,0.1005,21.5054,-69.2538,-135.8131,空,空,空,N/A,多,多,多,空,多,0,-1.2271,0,-1.4513,1,0.9912
APT-USDT,2026-04-05 03:00,摆动点,多,6,0.8449,空,空,空,多,多,多,26.7147,46.9935,0.0219,19.2078,41.4113,16.6684,-0.0006,-0.0156,-0.0348,0.3361,0.2665,0.1005,-38.1131,-69.2538,-135.8131,空,空,空,N/A,多,多,空,空,多,0,-1.3493,0,-0.9824,1,0.9350
APT-USDT,2026-04-05 04:00,摆动点,多,8,0.8427,空,空,空,多,多,多,10.6619,18.4823,0.0219,19.5817,42.1208,16.6684,-0.0009,-0.0159,-0.0348,0.0656,-0.0099,0.1005,-129.5306,-140.1578,-135.8131,空,空,空,多,多,多,多,多,多,0,-1.1155,0,-1.1036,1,1.1985
APT-USDT,2026-04-05 05:00,摆动点,多,8,0.8379,空,空,空,多,多,多,1.4204,18.4823,0.0219,21.1335,42.1208,16.6684,-0.0015,-0.0159,-0.0348,-0.2760,-0.0099,0.1005,-256.2555,-140.1578,-135.8131,空,空,空,多,多,多,多,多,多,0,-0.3103,0,-0.5848,1,1.6470
